"Timestamp","What is your gender","Select the age range that best suits you","What is your current level of education?","What is your current employment status?","What is your field of study?","Have you previously used ChatGPT?","Suppose you use ChatGPT for the following. Select the one(s) you consider to be inappropriate use of ChatGPT.","Do you think that the use of ChatGPT causes the rates of plagiarism for students to be higher?","Do you think it will be important for current and future students to learn to utilize AI software like ChatGPT to further their education and learning?","If you agree, why is it important?","How do you think ChatGPT could impact students' learning?"
"2023/03/04 1:00:32 AM AST","Male","18-24","Undergraduate","Full-time Student","Business","Yes","Answers for homework/lab assignments;Your job","No","Neutral","Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills"
"2023/03/04 1:12:58 AM AST","Male","18-24","Undergraduate","Full-time Student","Math","No","Answers for homework/lab assignments;Your job","Yes","Neutral","Research in academia may become heavily reliant on the quick information provided by the AI","Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/04 3:15:00 AM AST","Male","18-24","Undergraduate","Full-time Student","Math","Yes","Answers for homework/lab assignments;Your job","Yes","Neutral","Not applicable (do not think it’s important for students to learn to utilize AI software)","Less creativity and weaker critical thinking skills"
"2023/03/06 2:03:56 AM AST","Male","18-24","Undergraduate","Full-time Student","Arts","Yes","Answers for homework/lab assignments;Summarizing/helping you understand your professor’s lectures;Study preparations for test/exam;Personal reasons/experimentation","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 2:45:58 PM AST","Male","18-24","Undergraduate","Full-time Student","Computer science ","No","Answers for homework/lab assignments","Yes","Strongly Disagree","Not applicable (do not think it’s important for students to learn to utilize AI software)","Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 2:50:25 PM AST","Male","18-24","Undergraduate","Full-time Student","Sciences","Yes","Answers for homework/lab assignments;Your job","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 4:34:57 PM AST","Male","50-64","College Diploma","Part-time student","Engineering and Archiecture","No","Answers for homework/lab assignments","Yes","Neutral","Other reason(s);Not applicable (do not think it’s important for students to learn to utilize AI software)","Less creativity and weaker critical thinking skills"
"2023/03/06 4:38:17 PM AST","Male","18-24","College Diploma","Part-time student","Engineering and Archiecture","Yes","Answers for homework/lab assignments","No","Agree","Future job prospects will require the use of AI like ChatGPT","Students will use it along with human taught lessons to create a more reliable learning environment"
"2023/03/06 4:38:58 PM AST","Male","18-24","Undergraduate","Full-time Student","Business","Yes","Personal reasons/experimentation","Yes","Agree","Future job prospects will require the use of AI like ChatGPT","Students will use it along with human taught lessons to create a more reliable learning environment"
"2023/03/06 8:40:54 PM AST","Female","18-24","Undergraduate","Full-time Student","Engineering and Archiecture","Yes","Answers for homework/lab assignments;Your job","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 10:24:15 PM AST","Female","18-24","Undergraduate","Part-time student","Sciences","No","Answers for homework/lab assignments;Your job","Yes","Neutral","Not applicable (do not think it’s important for students to learn to utilize AI software)","Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 10:26:15 PM AST","Male","18-24","Undergraduate","Part-time student","Engineering and Archiecture","No","Your job","Yes","Agree","Future job prospects will require the use of AI like ChatGPT","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 11:24:32 PM AST","Female","18-24","Undergraduate","Full-time Student","Sciences","Yes","Answers for homework/lab assignments;Summarizing/helping you understand your professor’s lectures;Study preparations for test/exam;Personal reasons/experimentation","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI;Not applicable (do not think it’s important for students to learn to utilize AI software)","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 11:27:25 PM AST","Male","25-32","Undergraduate","Full-time Student","Sciences","Yes","Answers for homework/lab assignments","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI;Other reason(s)","Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/06 11:30:31 PM AST","Male","18-24","PhD","Part-time student","Engineering and Archiecture","Experimented with Different AI tools","Study preparations for test/exam","Yes","Agree","Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills"
"2023/03/07 11:52:52 PM AST","Male","18-24","Undergraduate","Full-time Student","itec","Yes","Answers for homework/lab assignments","Yes","Strongly agree","Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/08 11:41:08 PM AST","Male","18-24","Undergraduate","Full-time Student","Sciences","Yes","Answers for homework/lab assignments;Summarizing/helping you understand your professor’s lectures;Study preparations for test/exam;Personal reasons/experimentation;Your job","No","Neutral","Future job prospects will require the use of AI like ChatGPT","Students will use it along with human taught lessons to create a more reliable learning environment"
